SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP
52.95,0.12,2.2,0.01,16.39,12.34,12.61,0.55,0.06,0.22,0.0,2.27,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
56.07,0.05,2.15,0.38,7.61,12.33,18.98,0.08,0.05,0.23,0.02,2.05,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
55.04,0.19,1.5,0.05,9.87,11.18,17.29,0.31,0.68,1.56,0.05,2.13,0.72,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
51.84,0.34,2.16,0.0,18.7,10.1,12.33,0.32,0.01,0.42,0.09,2.09,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
55.98,0.07,2.23,0.2,8.43,12.1,18.28,0.16,0.04,0.35,0.02,2.46,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ACTINOLITE,AMPHIBOLES
51.64,0.12,1.05,0.01,13.4,18.0,12.5,0.31,0.05,0.25,0.09,1.65,0.27,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.48,0.25,3.06,0.04,18.62,7.41,14.33,0.29,0.03,0.84,0.05,2.09,0.06,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.78,0.0,ACTINOLITE,AMPHIBOLES
49.02,0.38,7.02,0.32,8.48,15.9,14.12,0.23,0.29,0.8,0.0,1.83,0.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
54.5,0.19,1.26,0.02,12.72,11.59,16.13,0.48,0.03,0.25,0.02,2.13,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
51.16,0.05,3.84,0.0,14.62,14.36,10.89,0.34,0.24,0.36,0.04,2.02,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
51.61,0.28,2.94,0.0,10.04,16.15,16.59,0.52,0.02,0.23,0.09,1.81,0.16,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ACTINOLITE,AMPHIBOLES
55.2,0.0,2.04,0.04,8.68,12.17,17.99,0.12,0.05,0.29,0.03,2.05,0.05,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
51.83,0.04,3.29,0.0,20.07,12.15,10.12,0.63,0.14,0.33,0.03,2.02,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
56.57,0.03,0.56,0.18,5.17,12.29,20.35,0.24,0.17,0.25,0.0,2.07,0.22,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ACTINOLITE,AMPHIBOLES
49.31,0.16,0.58,0.0,35.5,2.63,0.32,1.67,1.15,6.84,0.61,1.6,1.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ARFVEDSONITE,AMPHIBOLES
46.85,3.68,2.15,0.0,31.45,3.66,1.57,0.74,1.57,6.01,0.05,1.88,0.49,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,ARFVEDSONITE,AMPHIBOLES
46.66,0.26,2.44,0.0,32.38,0.94,0.23,2.58,1.55,8.06,0.22,1.23,1.6,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ARFVEDSONITE,AMPHIBOLES
49.45,0.6,0.47,0.03,34.15,1.55,0.06,0.81,1.38,7.9,0.82,1.54,2.32,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.78,0.0,ARFVEDSONITE,AMPHIBOLES
49.3,0.85,0.53,0.01,34.27,2.0,0.09,1.16,1.26,7.86,0.0,0.78,2.44,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.56,0.0,ARFVEDSONITE,AMPHIBOLES
49.15,1.08,0.38,0.0,34.05,1.18,0.25,0.68,1.35,8.14,0.75,1.05,2.62,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,ARFVEDSONITE,AMPHIBOLES
48.34,0.9,0.47,0.0,33.28,1.81,0.15,1.68,1.17,7.97,0.82,0.98,2.78,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,ARFVEDSONITE,AMPHIBOLES
48.41,1.28,0.73,0.0,33.25,3.76,0.66,0.89,1.27,6.7,0.46,1.49,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,ARFVEDSONITE,AMPHIBOLES
50.41,0.04,0.11,0.0,36.43,1.04,0.09,1.58,1.2,7.56,0.0,1.23,1.83,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARFVEDSONITE,AMPHIBOLES
48.91,1.16,0.38,0.0,33.45,1.16,0.0,0.7,1.35,8.19,0.71,0.92,2.62,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ARFVEDSONITE,AMPHIBOLES
48.5,0.24,0.25,0.0,37.09,2.67,0.05,1.04,1.27,6.98,0.0,0.65,2.04,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.81,0.0,ARFVEDSONITE,AMPHIBOLES
49.14,1.98,0.38,0.14,34.2,1.0,0.0,0.48,1.82,6.63,0.06,1.17,1.98,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
57.56,0.17,0.14,0.0,9.23,3.99,18.01,0.34,1.87,6.89,0.0,0.99,1.99,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
55.04,0.0,0.0,0.31,6.78,3.34,18.8,0.0,1.98,7.7,4.28,1.22,1.87,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.28,0.0,ARFVEDSONITE,AMPHIBOLES
55.1,0.0,0.0,0.11,9.24,1.82,18.39,0.0,2.22,8.66,0.0,0.88,2.11,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.28,0.0,ARFVEDSONITE,AMPHIBOLES
54.36,0.45,0.38,0.41,13.56,0.82,15.37,0.0,3.52,8.35,0.1,1.58,0.99,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
54.68,0.95,0.21,0.02,15.56,0.1,13.44,0.0,2.55,9.09,0.06,0.63,1.86,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.24,0.0,ARFVEDSONITE,AMPHIBOLES
52.25,0.44,1.99,0.03,15.01,2.28,14.01,0.16,2.1,8.11,0.04,1.3,0.71,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ARFVEDSONITE,AMPHIBOLES
55.68,1.32,0.14,0.0,10.99,0.89,16.73,0.12,5.37,6.88,0.04,1.15,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ARFVEDSONITE,AMPHIBOLES
51.55,0.87,0.53,0.0,22.56,0.39,4.88,3.11,2.05,8.48,0.11,1.49,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ARFVEDSONITE,AMPHIBOLES
53.81,0.19,0.63,0.01,16.99,1.74,13.31,0.15,2.84,7.68,0.1,0.96,2.84,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ARFVEDSONITE,AMPHIBOLES
54.76,0.26,0.34,0.04,11.03,2.57,17.23,0.18,3.4,7.59,0.11,0.84,3.23,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0,ARFVEDSONITE,AMPHIBOLES
55.58,1.1,0.02,0.02,9.12,0.05,16.79,0.18,5.27,7.49,0.03,0.95,2.92,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ARFVEDSONITE,AMPHIBOLES
54.95,2.6,0.67,0.0,12.23,0.02,12.64,0.22,5.52,6.6,0.61,0.92,1.98,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.18,0.0,ARFVEDSONITE,AMPHIBOLES
55.77,0.35,0.28,0.33,8.07,2.05,18.39,0.11,2.94,7.94,0.11,1.01,0.67,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ARFVEDSONITE,AMPHIBOLES
54.8,0.37,0.55,0.09,13.08,0.82,15.52,0.12,2.07,9.08,0.08,0.84,1.4,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ARFVEDSONITE,AMPHIBOLES
55.27,0.2,0.07,0.32,9.7,0.61,17.54,0.05,3.41,8.44,1.11,1.67,2.57,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ARFVEDSONITE,AMPHIBOLES
48.86,3.89,0.4,0.0,22.52,1.19,7.4,0.66,4.17,6.97,0.71,0.31,2.82,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARFVEDSONITE,AMPHIBOLES
50.49,3.99,0.0,0.2,20.79,1.2,8.51,0.63,4.43,7.32,0.0,1.01,1.4,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
50.47,2.3,0.72,0.05,26.42,0.98,5.77,0.66,4.76,6.87,0.06,0.59,1.03,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.18,0.0,ARFVEDSONITE,AMPHIBOLES
53.03,2.64,0.0,0.0,19.15,1.09,10.51,0.74,4.96,7.13,0.0,1.01,1.11,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
51.09,4.64,0.0,0.02,20.01,1.41,8.95,0.66,5.28,6.83,0.0,1.1,1.57,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ARFVEDSONITE,AMPHIBOLES
50.45,3.74,0.0,0.16,20.77,1.12,8.94,0.52,4.89,7.31,0.44,0.75,1.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
50.38,4.05,0.0,0.02,20.78,1.15,8.77,0.65,4.66,6.85,0.44,1.57,1.29,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
49.01,2.43,0.44,0.0,33.7,2.82,0.3,1.34,1.28,7.13,0.0,0.11,2.82,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.18,0.0,ARFVEDSONITE,AMPHIBOLES
48.02,2.0,0.5,0.0,34.12,2.93,0.34,1.34,1.23,7.01,0.6,0.7,1.79,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
46.78,2.89,0.78,0.0,32.71,4.1,1.05,1.07,1.35,6.12,0.04,1.03,1.81,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
54.63,0.07,0.63,0.02,28.05,0.18,4.44,1.31,0.22,7.36,0.04,2.0,0.79,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,ARFVEDSONITE,AMPHIBOLES
55.11,0.02,0.0,0.11,9.23,1.78,18.36,0.0,2.28,8.64,0.0,0.88,2.12,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.28,0.0,ARFVEDSONITE,AMPHIBOLES
54.67,0.93,0.22,0.03,15.5,0.12,13.5,0.0,2.58,9.07,0.06,0.66,1.84,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.24,0.0,ARFVEDSONITE,AMPHIBOLES
50.09,0.07,0.13,0.0,36.54,1.31,0.08,1.49,1.21,7.46,0.0,1.13,1.86,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
55.76,0.19,0.08,0.25,9.6,1.33,17.64,0.11,3.08,8.11,0.88,1.53,2.45,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ARFVEDSONITE,AMPHIBOLES
46.98,0.45,2.13,0.0,32.54,1.45,0.31,2.27,1.5,7.81,0.26,1.28,1.48,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ARFVEDSONITE,AMPHIBOLES
55.19,0.2,0.0,0.09,9.21,1.5,18.1,0.03,2.78,8.45,0.01,0.89,2.26,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ARFVEDSONITE,AMPHIBOLES
52.99,0.6,1.45,0.03,15.18,1.62,13.84,0.11,2.24,8.41,0.05,1.1,1.06,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
53.44,1.35,0.33,0.01,18.02,1.43,11.98,0.43,3.85,7.42,0.05,0.98,2.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
56.57,0.18,0.11,0.14,9.43,2.53,17.81,0.21,2.54,7.56,0.48,1.28,2.24,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
55.15,0.06,0.02,0.17,9.37,1.47,18.14,0.01,2.57,8.6,0.33,1.11,2.24,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ARFVEDSONITE,AMPHIBOLES
55.32,0.91,0.22,0.02,11.01,1.54,16.92,0.14,4.61,7.16,0.07,1.03,1.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ARFVEDSONITE,AMPHIBOLES
55.69,1.18,0.16,0.05,10.58,1.05,16.96,0.12,5.03,7.03,0.05,1.13,0.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ARFVEDSONITE,AMPHIBOLES
53.88,0.31,2.43,0.01,18.82,1.02,19.62,1.6,0.01,0.3,0.26,1.92,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,CUMMINGTONITE,AMPHIBOLES
52.81,0.23,1.57,0.04,19.97,1.75,18.54,1.57,0.01,0.0,0.06,2.13,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.23,0.0,CUMMINGTONITE,AMPHIBOLES
53.09,0.2,1.81,0.0,19.79,2.09,18.74,1.51,0.03,0.18,0.24,2.05,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUMMINGTONITE,AMPHIBOLES
52.21,0.37,2.1,0.05,19.45,2.22,18.54,1.53,0.04,0.0,0.26,2.01,0.12,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.14,0.0,CUMMINGTONITE,AMPHIBOLES
53.45,0.49,1.56,0.01,20.17,1.8,18.91,1.61,0.0,0.14,0.71,2.04,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,CUMMINGTONITE,AMPHIBOLES
55.04,0.2,1.64,0.01,15.17,1.66,21.17,0.94,0.02,0.25,0.0,2.03,0.08,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,CUMMINGTONITE,AMPHIBOLES
53.8,0.18,3.13,0.01,19.0,1.48,19.4,0.67,0.04,0.32,0.05,2.09,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,CUMMINGTONITE,AMPHIBOLES
55.95,0.17,1.23,0.07,16.99,1.63,21.98,1.12,0.18,0.16,0.07,2.05,0.14,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,CUMMINGTONITE,AMPHIBOLES
53.4,0.33,1.83,0.09,19.02,2.38,18.63,1.48,0.03,0.45,0.07,2.02,0.12,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,CUMMINGTONITE,AMPHIBOLES
52.47,0.3,1.47,0.04,24.25,1.58,15.64,1.14,0.06,0.53,0.02,1.94,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUMMINGTONITE,AMPHIBOLES
51.03,0.27,1.63,0.0,19.22,1.81,17.5,1.6,0.45,1.33,0.51,1.97,0.72,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.73,0.0,CUMMINGTONITE,AMPHIBOLES
52.75,0.32,2.2,0.02,19.73,2.48,18.61,1.54,0.0,0.14,0.15,2.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,CUMMINGTONITE,AMPHIBOLES
52.12,0.33,3.47,0.03,17.01,2.67,19.95,0.63,0.04,0.57,0.03,2.03,0.07,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,CUMMINGTONITE,AMPHIBOLES
52.07,0.3,1.97,0.04,20.5,1.97,18.37,1.61,0.03,0.09,0.19,2.02,0.16,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,CUMMINGTONITE,AMPHIBOLES
52.7,0.33,1.97,0.0,19.98,1.94,18.4,1.45,0.05,0.29,0.08,2.14,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,CUMMINGTONITE,AMPHIBOLES
53.28,0.22,1.52,0.0,21.18,1.73,17.51,1.47,0.1,0.13,0.15,2.08,0.15,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.11,0.0,CUMMINGTONITE,AMPHIBOLES
51.66,0.39,1.84,0.08,20.01,1.9,18.04,1.65,0.01,0.45,0.3,1.97,0.08,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,CUMMINGTONITE,AMPHIBOLES
52.42,0.25,1.5,0.0,20.16,1.79,18.85,1.72,0.0,0.24,0.1,1.97,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,CUMMINGTONITE,AMPHIBOLES
53.02,0.31,1.64,0.01,20.19,1.86,18.69,1.52,0.02,0.19,0.34,1.99,0.18,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.14,0.0,CUMMINGTONITE,AMPHIBOLES
50.6,0.34,2.25,0.1,18.51,2.42,17.49,1.51,0.17,2.17,0.09,1.1,0.71,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.78,0.0,CUMMINGTONITE,AMPHIBOLES
52.67,0.36,2.23,0.0,18.21,2.32,18.64,1.47,0.03,0.65,0.1,1.97,0.12,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.32,0.0,CUMMINGTONITE,AMPHIBOLES
52.75,0.38,2.03,0.02,21.75,2.34,16.7,1.33,0.07,0.56,0.46,1.87,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.19,0.0,CUMMINGTONITE,AMPHIBOLES
52.13,0.3,1.74,0.03,19.94,1.81,18.36,1.61,0.01,0.13,0.12,2.02,0.1,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.77,0.0,CUMMINGTONITE,AMPHIBOLES
53.29,0.29,1.82,0.0,20.38,1.79,18.53,1.53,0.01,0.49,0.8,2.12,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,CUMMINGTONITE,AMPHIBOLES
52.69,0.31,1.84,0.07,20.15,1.96,18.54,1.51,0.0,0.14,0.24,1.99,0.17,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.39,0.0,CUMMINGTONITE,AMPHIBOLES
52.59,0.34,2.53,0.01,17.69,1.66,20.98,0.96,0.02,0.47,0.05,2.01,0.09,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,CUMMINGTONITE,AMPHIBOLES
52.37,0.49,2.49,0.01,19.93,0.9,18.27,2.0,0.04,0.56,0.0,1.95,0.34,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.94,0.0,CUMMINGTONITE,AMPHIBOLES
